        Vehicle ID:	p1B3CC4FB0AN22533
   Last Inspection:	2009/8/8
    Current Status:	a

        Vehicle ID:	c1B7GL22N3YS59163
        Make/Model:	Ford  Super Duty 450 XL
   Last Inspection:	2009/6/22
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	i1B7GL22N9YS58894
        Make/Model:	Dodge Demon
   Last Inspection:	2014/12/21
    Current Status:	s

        Vehicle ID:	p1B7GL22X1WS70425
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2008/4/10
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B7GL22X31S34332
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2014/7/16
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1B7GL22X3XS27605
        Make/Model:	Ford  F 150
   Last Inspection:	2010/9/23
    Current Status:	s
      Max. Payload:	3.04 tons

        Vehicle ID:	c1B7GL22X51S27604
        Make/Model:	Ford  F 250
   Last Inspection:	2009/8/25
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	c1B7GL22X6XS24717
        Make/Model:	Ford  F 250
   Last Inspection:	2007/2/4
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1B7GL22XXWS61798
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2014/9/18
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	c1B7GL22XXXS21492
        Make/Model:	Ford  F 250
   Last Inspection:	2011/1/4
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	c1B7GL22Y0XS21589
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2013/1/28
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	i1B7GL22Y4XS11884
        Make/Model:	Ford  Explorer
   Last Inspection:	2011/3/12
    Current Status:	a

        Vehicle ID:	i1B7GL22Y9XS27574
        Make/Model:	Dodge Demon
   Last Inspection:	2010/3/23
    Current Status:	a

        Vehicle ID:	p1B7GL23X2VS28738
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2014/8/10
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	c1B7GL23X4TS67289
        Make/Model:	Ford  Super Duty 450 XL
   Last Inspection:	2011/2/24
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	i1B7GL23X6SW91607
        Make/Model:	Chevrolet Impala
   Last Inspection:	2009/4/9
    Current Status:	a

        Vehicle ID:	p1B7GL23X7TS52381
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2014/10/25
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1B7GL23X8RS50948
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/7/25
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B7GL23Y0RS70977
        Make/Model:	Chevrolet Impala
   Last Inspection:	2010/5/27
    Current Status:	m

        Vehicle ID:	p1B7GL2AX81S20168
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2012/7/26
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	p1B7GL42X32S68153
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2008/7/21
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B7GL42X62S66717
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2016/12/22
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B7GL42X82S59010
        Make/Model:	Ford  F 250
   Last Inspection:	2013/5/15
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1B7GR14XXJS77175
        Make/Model:	Chevrolet Silverado 2500
   Last Inspection:	2006/4/22
    Current Status:	m
      Max. Payload:	1.62 tons

        Vehicle ID:	i1B7HC13Y2WJ25777
        Make/Model:	Chevrolet Impala
   Last Inspection:	2015/1/12
    Current Status:	s

        Vehicle ID:	i1B7HC13Y31J61440
        Make/Model:	Dodge Demon
   Last Inspection:	2009/10/20
    Current Status:	s

        Vehicle ID:	c1B7HC13Y81J60327
        Make/Model:	Ford  F 250
   Last Inspection:	2015/5/9
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	i1B7HC16X5WS65870
        Make/Model:	Ford  Explorer
   Last Inspection:	2010/10/28
    Current Status:	s

        Vehicle ID:	c1B7HC16X6WS50835
        Make/Model:	Ford  Super Duty 450 XL
   Last Inspection:	2013/5/11
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	i1B7HC16X71S26088
        Make/Model:	Ford  EcoSport
   Last Inspection:	2012/6/25
    Current Status:	a

        Vehicle ID:	i1B7HC16X8WS72982
        Make/Model:	Ford  Focus
   Last Inspection:	2007/6/6
    Current Status:	s

        Vehicle ID:	p1B7HC16Y01S24151
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2010/4/1
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1B7HC16Y2SS17806
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2010/6/12
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1B7HC16Y2XS19301
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/7/15
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1B7HC16Y2YS50563
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2014/10/25
    Current Status:	m
      Max. Payload:	2.88 tons

        Vehicle ID:	i1B7HC16Y7RS64146
        Make/Model:	Dodge Challenger
   Last Inspection:	2014/5/17
    Current Status:	s

        Vehicle ID:	c1B7HC16Y7TS69399
        Make/Model:	Chevrolet Silverado 2500
   Last Inspection:	2008/10/22
    Current Status:	s
      Max. Payload:	1.62 tons

        Vehicle ID:	p1B7HC16Y7VJ50891
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2010/11/21
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B7HC16Y8TS59046
        Make/Model:	Ford  EcoSport
   Last Inspection:	2007/1/24
    Current Status:	s

        Vehicle ID:	i1B7HC16Y9VJ51592
        Make/Model:	Dodge Demon
   Last Inspection:	2008/7/23
    Current Status:	s

        Vehicle ID:	i1B7HC16Z01S74544
        Make/Model:	Ford  EcoSport
   Last Inspection:	2015/7/23
    Current Status:	s

        Vehicle ID:	p1B7HC16Z0RS71072
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2008/10/24
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	p1B7HF13Y0XJ57229
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2014/12/9
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1B7HF13Y3XJ55818
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2016/10/27
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1B7HF13Z01J53855
        Make/Model:	Chevrolet Impala
   Last Inspection:	2010/12/16
    Current Status:	s

        Vehicle ID:	i1B7HF13Z1XJ63483
        Make/Model:	Chevrolet Impala
   Last Inspection:	2013/2/28
    Current Status:	s

        Vehicle ID:	p1B7HF16Y01S18279
        Make/Model:	Temsa TS45
   Last Inspection:	2013/11/14
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	p1B7HF16Y51S20751
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2011/10/1
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B7HF16Y6SS11628
        Make/Model:	Dodge Demon
   Last Inspection:	2014/7/20
    Current Status:	s

        Vehicle ID:	i1B7HF16Y81S23132
        Make/Model:	Chevrolet Impala
   Last Inspection:	2014/6/12
    Current Status:	a

        Vehicle ID:	p1B7HF16Y8WS58833
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2012/8/9
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B7HF16Z1TJ18969
        Make/Model:	Chevrolet Impala
   Last Inspection:	2007/2/28
    Current Status:	s

        Vehicle ID:	p1B7HF16Z31S21298
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2010/9/8
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B7HF16Z41S18649
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2016/12/25
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	i1B7HF16Z5YS52559
        Make/Model:	Ford  Mustang
   Last Inspection:	2017/3/17
    Current Status:	s

        Vehicle ID:	p1B7HF16ZXSS30071
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2017/12/25
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1B7HG2AN21S24906
        Make/Model:	Chevrolet Impala
   Last Inspection:	2017/8/16
    Current Status:	s

        Vehicle ID:	i1B7HG2AN41S32100
        Make/Model:	Ford  Mustang
   Last Inspection:	2012/11/18
    Current Status:	s

        Vehicle ID:	p1B7HG2AZXYS72840
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2012/1/24
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B7HG38N72S62158
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2009/10/9
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	p1B7HG48N32S65361
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2015/11/14
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	p1B7HL2AN51S31369
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2012/8/17
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B7HL2AX91S33700
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/4/13
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	p1B7HL38N22S51257
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2009/12/2
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1B7HL38X3SS68863
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2011/12/3
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B7HL38X72S56219
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2010/3/9
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1B7HL38X72S65120
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2010/1/14
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B7HL48N82S56052
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2012/3/18
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B7HL48X52S72003
        Make/Model:	Chevrolet Impala
   Last Inspection:	2009/7/25
    Current Status:	s

        Vehicle ID:	i1B7HM06Y7K500273
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2016/12/25
    Current Status:	s

        Vehicle ID:	i1B7HW14W3GS12546
        Make/Model:	Dodge Demon
   Last Inspection:	2011/10/10
    Current Status:	s

        Vehicle ID:	i1B7KC23Z81J58607
        Make/Model:	Chevrolet Impala
   Last Inspection:	2013/11/23
    Current Status:	s

        Vehicle ID:	p1B7KE2687MS27939
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2006/5/19
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	c1B7KF2368XJ52380
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/7/3
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1B7KF23Z31J57296
        Make/Model:	Ford  F 250
   Last Inspection:	2008/11/11
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	i1B7KM26C4PS10031
        Make/Model:	Dodge Demon
   Last Inspection:	2009/9/28
    Current Status:	s

        Vehicle ID:	c1B7MC3366XJ60541
        Make/Model:	Ford  Super Duty 450 XL
   Last Inspection:	2012/9/15
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	c1B7MF336XXJ59111
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2010/12/23
    Current Status:	a
      Max. Payload:	2.33 tons

        Vehicle ID:	p1B8GP45372B52105
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2008/2/22
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	c1B8HS78Z62F22164
        Make/Model:	Chevrolet Cargo Express
   Last Inspection:	2013/10/3
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	c1B9SU1116ER92804
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/10/15
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1BABGBPA1FF31128
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/11/16
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1BABGBPA4FF31126
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2010/4/2
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	c1BABGBPA4FF31126
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2009/10/17
    Current Status:	a
      Max. Payload:	2.88 tons

        Vehicle ID:	c1BABGCPA0AF26939
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2017/6/5
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	c1BABHCKAX6F23479
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/10/17
    Current Status:	m
      Max. Payload:	1.53 tons

        Vehicle ID:	c1BABJBPA6BF28106
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2009/12/3
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	c1BABNCPA1CF28416
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2014/10/24
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1BABNCPA2CF28409
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/3/15
    Current Status:	a

        Vehicle ID:	i1BAKBCKA27F24180
        Make/Model:	Dodge Demon
   Last Inspection:	2011/4/12
    Current Status:	s

        Vehicle ID:	i1BAKBCPA3FF30970
        Make/Model:	Ford  Mustang
   Last Inspection:	2012/3/15
    Current Status:	s

        Vehicle ID:	c1BAKBCPH1FF31366
        Make/Model:	Ford  F 250
   Last Inspection:	2006/2/5
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1BAKBCPH3EF30256
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2008/10/24
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1BAKBCPH5FF31545
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2013/3/17
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1BAKBCPH5GF32150
        Make/Model:	Ford  Mustang
   Last Inspection:	2007/6/5
    Current Status:	a

        Vehicle ID:	p1BAKBCPH7GF32149
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2010/1/2
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1BAKBCPH99F25864
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2008/1/23
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	c1BAKBCPH9EF30528
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2010/5/16
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1BAKBCPH9GF31546
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2006/9/20
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1BAKCCSA2JF34182
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2014/1/24
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	i1BAKFCKAX7F24061
        Make/Model:	Chevrolet Impala
   Last Inspection:	2014/4/18
    Current Status:	a

        Vehicle ID:	p1BAKFCPA0FF31025
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2007/8/22
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	c1BAKFCPA2GF31824
        Make/Model:	Ford  F 250
   Last Inspection:	2009/11/8
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	c1BAKFCPA3BF27495
        Make/Model:	Ford  F 150
   Last Inspection:	2008/3/6
    Current Status:	a
      Max. Payload:	3.04 tons

        Vehicle ID:	c1BAKFCPA3DF29441
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2010/1/6
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1BAKFCPA3HF33436
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2012/9/21
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1BAKFCPA9HF32899
        Make/Model:	Chevrolet Impala
   Last Inspection:	2013/8/28
    Current Status:	a

        Vehicle ID:	p1BAKFCPH0DF29204
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2009/1/14
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1BAKFCPH0EF30214
        Make/Model:	Dodge Challenger
   Last Inspection:	2016/6/8
    Current Status:	s

        Vehicle ID:	i1BAKFCPH2EF30214
        Make/Model:	Dodge Journey
   Last Inspection:	2014/8/12
    Current Status:	s

        Vehicle ID:	c1BAKFCPH3CF28867
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2014/12/17
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1BAKFCPH4HF33348
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2010/10/25
    Current Status:	a
      Max. Payload:	2.33 tons

        Vehicle ID:	p1BAKFCPH5FF31368
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2007/1/3
    Current Status:	m
   Max. Passengers:	7

        Vehicle ID:	c1BAKFCPH6EF30354
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2008/5/12
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p1BAKFCPH9CF28479
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2011/1/9
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1BAKFCPH9DF29204
        Make/Model:	Chevrolet Impala
   Last Inspection:	2015/12/13
    Current Status:	s

        Vehicle ID:	i1BAKFCSH0JF34483
        Make/Model:	Ford  Mustang
   Last Inspection:	2008/4/9
    Current Status:	s

        Vehicle ID:	p1BAKFCSH8JF34294
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2009/5/19
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1BAKFCSH8JF34294
        Make/Model:	Ford  F 250
   Last Inspection:	2008/6/8
    Current Status:	m
      Max. Payload:	1.9 tons

        Vehicle ID:	i1BAKGCBA2JF34029
        Make/Model:	Ford  EcoSport
   Last Inspection:	2016/8/3
    Current Status:	a

        Vehicle ID:	c1BAKGCEA0JF33387
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/8/28
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	c1BAKGCPA0HF33380
        Make/Model:	Ford  F 250
   Last Inspection:	2011/6/3
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1BAKGCPA1FF30855
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2015/4/3
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	p1BAKGCPA2DF29582
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2010/3/27
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1BAKGCPA2FF30970
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2009/5/18
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1BAKGCPA2FF31065
        Make/Model:	Chevrolet Impala
   Last Inspection:	2012/6/9
    Current Status:	s

        Vehicle ID:	i1BAKGCPA3HF33461
        Make/Model:	Ford  EcoSport
   Last Inspection:	2007/11/12
    Current Status:	s

        Vehicle ID:	p1BAKGCPA4FF30974
